,adview,views,likes,dislikes,comment,published,duration,category
0,40,1031602,8523,363,1095,1090,457,5
1,2,1707,56,2,6,64,570,3
2,1,2023,25,0,2,122,136,2
3,6,620860,777,161,153,2090,262,7
4,1,666,1,0,0,2235,31,3
5,4,78,0,0,0,672,15,3
6,40621,43118,15,1,0,1647,200,3
7,1,14205,55,16,1,52,58,4
8,1,526015,3064,211,2582,467,1670,5
9,1,406992,3831,310,7839,223,679,1
10,19,607447,377,144,65,608,745,3
11,9,429137,2181,76,172,2049,228,1
12,224,1895,59,5,0,1084,254,1
13,1,59843,68,16,10,489,8608,3
14,2,211642,1378,65,103,183,170,5
15,1,3700,29,6,3,1959,37,1
16,2,2303,4,0,0,136,26,6
17,4794,5886,23,0,4,310,312,3
18,107,9477,66,0,0,1712,22,6
19,53702,115426,83,10,2,851,196,6
20,2,62255,71,10,1,39,761,3
21,1,15353,13,6,9,208,101,3
22,1,236589,1730,38,140,1566,325,3
23,2,94719,192,11,23,52,41,3
24,14,3089826,7493,1148,330,1700,798,3
25,3,2046444,3910,845,247,1194,362,6
26,3,2103487,13342,734,650,50,659,1
27,3,740683,935,68,57,1330,98,3
28,1,805979,2036,183,215,1768,131,1
29,1,229495,372,50,44,2299,8552,3
30,1,2758,2,0,1,1176,167,3
31,1,24672,313,10,128,1802,665,3
32,2,2000406,14974,686,1297,2061,537,3
33,4,163161,617,25,51,1863,228,4
34,6,422797,1226,122,117,924,803,3
35,1,157479,944,40,52,262,69,1
36,1,109,0,1,0,32,473,3
37,53,3258674,9193,290,823,522,4226,6
38,2,17128,33,4,4,1878,99,5
39,1,136151,155,13,14,608,629,3
40,1,1034,5,0,0,18,261,0
41,1,513871,743,214,45,1313,676,3
42,4,178089,1259,24,124,754,823,4
43,17,553420,818,167,59,1252,3457,3
44,2,623004,531,182,76,413,75,3
45,1,172599,162,61,35,827,5549,4
46,1,793069,2638,163,135,840,866,6
47,4,462,1,0,0,1574,31,3
48,1,15882,102,1,41,1743,806,3
49,1,797861,2117,225,170,128,1704,3
50,1,5503,6,2,1,1311,246,6
51,1,19213,78,5,0,135,148,3
52,4,165497,215,62,153,1442,2315,3
53,1,212195,561,61,192,1549,622,3
54,4,805,6,0,0,276,20,3
55,5,89443,84,26,4,1621,713,3
56,2,56573,228,5,16,532,153,6
57,61,367301,204,80,4,1031,328,3
58,1619,1389401,13224,831,522,1338,136,5
59,1,7702,23,0,1,1185,140,6
60,1,101581,314,11,4,2337,47,3
61,182,581,7,0,1,1983,86,3
62,5,1515742,14551,514,5752,657,353,1
63,36,11991184,48324,5808,5167,928,2664,3
64,3,1275680,4743,932,184,812,275,3
65,3,127821,1127,80,466,841,711,5
66,1,7779,59,0,7,1945,261,6
67,11,415699,251,49,23,1062,89,3
68,1,162390,1031,34,33,1332,1241,2
69,7,683587,1172,122,85,2155,1180,3
70,2,38570,55,6,11,1067,663,4
71,2,503532,1872,50,85,1533,267,6
72,1,52039,240,16,145,2165,602,3
73,16,5863262,10238,2541,611,1647,167,2
74,3,981761,2414,267,217,1230,257,3
75,1,31339,142,11,16,1092,165,6
76,1,18222,51,6,30,1207,258,3
77,1,21772,37,3,3,1450,8402,3
78,4,15345,9,8,0,232,266,3
79,1,81993,882,21,227,1822,359,3
80,3,293365,126,36,7,1359,219,3
81,1,1939,36,0,16,2329,379,3
82,1,23692,178,6,19,919,264,3
83,2,970875,4982,235,256,1208,344,6
84,2,11703,217,13,6,1805,336,6
85,1,167645,154,52,81,1143,54,3
86,1,7759,34,4,18,864,796,3
87,2,775,7,0,1,1875,511,3
88,69,3423094,1195,624,26,54,163,3
89,5,21512,203,12,61,2155,569,6
90,1,123061,140,42,20,2182,601,3
91,2,25680,20,6,1,2367,215,0
92,2,635882,1048,126,589,97,417,4
93,2,578880,1434,205,173,360,508,3
94,1,141023,154,44,16,554,275,3
95,1,1208415,2082,202,120,782,161,3
96,1,5993,11,2,1,1653,40,4
97,6,1908671,675,448,71,1010,115,3
98,124,609442,6698,349,724,2349,251,6
99,1,569870,730,63,69,1858,250,6
100,11,335120,327,125,28,1567,76,3
101,3291,4351,56,1,18,1694,193,3
102,1,424331,166,80,6,1078,96,3
103,1,845994,4212,251,736,1161,184,4
104,14,921464,430,343,0,448,106,3
105,19,598434,4851,1170,1243,1650,346,6
106,4,184429,1136,175,625,2324,435,1
107,1,321059,1373,119,544,1255,395,3
108,1,4609,67,7,60,1192,312,6
109,10,2911207,18658,384,2599,684,449,1
110,14,845625,652,197,71,684,127,3
111,1,6487,23,1,0,473,250,3
112,1,3793,2,3,0,870,902,4
113,8,599143,1682,119,55,1612,573,3
114,2,13259,92,10,8,693,491,1
115,1,141,0,0,0,2026,31,3
116,2,678578,267,112,0,1325,467,2
117,37895,63164,60,5,7,1660,183,3
118,4,542073,2043,138,459,1831,87,3
119,1,525236,7064,95,460,1788,777,3
120,2,11909,40,1,2,312,65,4
121,1,279067,1610,203,1823,208,1515,3
122,2,194540,2106,242,254,1168,139,1
123,1,57917,461,11,10,280,883,7
124,1,118990,195,11,14,1659,112,4
125,1,10168,88,2,11,1474,326,3
126,1,10328,79,14,0,1383,261,1
127,1,17530,95,5,11,1805,145,4
128,372,40222,60,48,11,1326,68,3
129,1,236928,281,37,6,1991,163,3
130,1909,2019,4,0,3,490,385,3
131,1,610698,10095,183,646,1135,317,1
